ministry,sector,project_name,agency,sl_no,state,approval_date,start_date,target_doc,revised_doc,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,cost_overrun_pct,report_month
Ministry of Petroleum & Natural Gas,Energy Storage,Change of service of existing Mundra-Panipat Pipeline [Panipat - Churwa section] from Crude oil to Product,(IOCL),378,Haryana,05/2025,05/2025,04/2027,03/2027,359.0,359.0,40.86,39.6,0.0,2026-06
Ministry of Health & Family Welfare,Healthcare,AIIMS Darbhanga,(PMSSY AND Institute of NATIONAL Importance),437,Bihar,09/2020,09/2020,09/2024,,1264.0,1264.0,27.81,0.0,0.0,2026-06
Ministry of Petroleum & Natural Gas,Energy Storage,PRP-VIII [Group-A],(Ministry of Petroleum & Natural Gas),414,Offshore,09/2024,09/2024,02/2026,12/2026,1486.4,1486.4,618.99,59.6,0.0,2026-06
Ministry of Petroleum & Natural Gas,Energy Storage,PRP-VIII Group B [NH & BS Asset],(Ministry of Petroleum & Natural Gas),418,Offshore,06/2024,06/2024,02/2026,12/2026,2379.84,3165.53,2923.49,98.7,33.01440432970284,2026-06
Ministry of Power,Coal,Transmission System for Evacuation of power from Potential RE Zone in Khavda Area of Gujarat under phase IV 7GW-Part E4,(Power Grid Corporation of India Limited [POWERGRID]),212,Maharashtra,11/2023,11/2023,07/2025,05/2026,224.41,224.41,224.41,100.0,0.0,2026-06
Ministry of Housing & Urban Affairs,Construction,Pune Water Supply Infrastructure Project,(Ministry of Housing & Urban Affairs),290,Maharashtra,03/2017,07/2017,03/2023,08/2026,235.95,235.95,220.77,96.0,0.0,2026-06
Ministry of Coal,Coal,SIRKA OC,(CCL - CIL),62,Jharkhand,05/2020,05/2020,03/2028,,222.82,222.82,280.03,56.47,0.0,2026-06
Ministry of Railways,Railways,Surface triangle line bet. Bhadura stn and new crossing stn Karma,(East Central Railway [ECR] - I),750,Uttar Pradesh,10/2022,05/2024,02/2027,,199.96,199.96,7.67,0.6,0.0,2026-06
Ministry of Railways,Railways,Dum Dum Airport-New Garia via Rajarhat-Construction of Metro Railway,(RVNL - II),765,West Bengal,03/2010,10/2011,12/2025,12/2027,8964.0,8964.0,8984.66,87.0,0.0,2026-06
Ministry of Railways,Railways,Kalinarayanpur-Krishnanagar Doubling Alongwith Krishnanagar - Chapra New Line And Naihati-Ranaghat 3rd Line.,(Eastern Railway [ER] - I),763,West Bengal,07/2015,11/2005,02/2027,03/2028,1000.0,1000.0,1066.85,76.0,0.0,2026-06
Ministry of Railways,Railways,GANDHAMARDAN IRON ORE MINES TO GOALDIH STATION/12.76kms,(East Coast Railway [ECoR] - II),720,Odisha,09/2022,05/2025,09/2027,09/2027,190.0,189.93,3.4,5.0,-0.0368421052631543,2026-06
Ministry of Railways,Railways,"Jaynagar-Bijalpura, incl. extn. Bet, Bijalpura-Bardibas [Nepal]",(East Central Railway [ECR] - I),721,Offshore,08/2015,03/2011,03/2022,03/2026,819.0,819.0,580.51,75.0,0.0,2026-06
Ministry of Railways,Railways,Devgarh Madariya - Nathdwara Gauge Conversion [82.54 Km] part of Marwar - Mavli Gauge Conversion [152 Km],(North Western Railway [NWR]),725,Rajasthan,01/2023,01/2023,01/2027,,968.92,968.92,745.15,73.0,0.0,2026-06
Ministry of Railways,Railways,Jarapada- Budhapank with flyover at Talcher road 3rd and 4th Line,(East Coast Railway [ECoR] - II),716,Odisha,11/2015,12/2015,11/2018,03/2028,1000.0,810.02,478.83,59.0,-18.998,2026-06
Ministry of Railways,Railways,PUSHKAR- MERTA CITY NEW LINE,(North Western Railway [NWR]),727,Rajasthan,02/2024,02/2024,12/2026,12/2028,799.64,799.64,224.71,8.0,0.0,2026-06
Ministry of Railways,Railways,POKHRAN - RAMDEVRA New Line,(North Western Railway [NWR]),730,Rajasthan,04/2025,04/2025,03/2028,,189.21,189.21,55.58,2.0,0.0,2026-06
Ministry of Railways,Railways,NATHDWARA- NATHDWARA TOWN NL,(North Western Railway [NWR]),731,Rajasthan,03/2019,04/2024,03/2027,,166.33,166.33,112.55,15.0,0.0,2026-06
Ministry of Railways,Railways,Dholpur - Sirmuttra Gauge Conversion,(North Central Railway),732,Rajasthan,03/2022,04/2020,02/2019,02/2027,747.0,747.0,509.8,49.7,0.0,2026-06
Ministry of Railways,Railways,Tarakeshwar-Bishnupur New Line [82.47 km],(Eastern Railway [ER] - I),764,West Bengal,03/2001,02/2008,03/2019,02/2026,1189.0,1542.0,1390.59,96.9,29.68881412952061,2026-06
Ministry of Railways,Railways,Gudha-Thatha Mithri Construction of Railway Track Project,(North Western Railway [NWR]),733,Rajasthan,04/2019,04/2019,11/2026,11/2026,819.48,967.06,405.39,95.0,18.008981305217933,2026-06
Ministry of Railways,Railways,AJMER- CHANDERIYA DOUBLING,(North Western Railway [NWR]),728,Rajasthan,02/2024,02/2024,06/2027,03/2028,1634.79,1634.79,489.56,22.0,0.0,2026-06
Ministry of Railways,Railways,Dedicated Test Track for RDSO /Phase-II Project,(North Western Railway [NWR]),736,Rajasthan,11/2021,01/2022,03/2026,,466.42,466.42,538.22,98.0,0.0,2026-06
Ministry of Road Transport & Highways,Roads & Highways,Chhapra - Hajipur from km. 143.200 to km. 209.200,(NHAI),940,Bihar,07/2010,01/2011,07/2013,04/2026,2127.86,2171.6,526.04,89.81,2.055586363764523,2026-06
Ministry of Railways,Railways,Allahabad division - Aligarh - Harduaganj Flyover,(North Central Railway),761,Uttar Pradesh,04/2020,02/2021,10/2026,03/2027,1457.0,1457.0,400.19,36.0,0.0,2026-06
Ministry of Road Transport & Highways,Roads & Highways,Khammam-Devarapalle Pkg V [4L Access Controlled Greenfield from Gurvaygudem village to Devarapalle village Design Chainage 132664 to 162126,(NHAI),818,Andhra Pradesh,12/2020,09/2022,09/2024,07/2026,711.94,926.48,566.96,100.0,30.134561901283806,2026-06
Ministry of Road Transport & Highways,Roads & Highways,Maheshkunt -Saharsa-Purnea Pkg II,(NHAI),939,Bihar,03/2017,12/2018,12/2020,09/2026,1028.28,1244.09,1220.65,94.0,20.98747422880927,2026-06
Ministry of Railways,Railways,Aligarh -Daud Khan Flyover Construction & 3rd Railway Line Project,(CAO/C/NCR),757,Uttar Pradesh,04/2019,09/2020,01/2025,03/2027,758.0,779.49,511.12,83.0,2.8350923482849613,2026-06
Ministry of Railways,Railways,Rishikesh-Karnaprayag New Rail Line- 125 km,(RVNL - II),762,Uttarakhand,11/2016,08/2018,12/2025,12/2028,38953.0,38953.0,28828.18,77.5,0.0,2026-06
Ministry of Railways,Railways,Sawai Madhopur-Jaipur Railway Line Project,(North Western Railway [NWR]),734,Rajasthan,02/2024,04/2023,03/2027,,1203.89,1203.89,240.33,19.0,0.0,2026-06
Ministry of Railways,Railways,Flyover between Pendurthi and Simhachalam North to avoid surface crossing at Simhachalam 7.135 km PB 73 of 2023 24 NR,(East Coast Railway [ECoR] - II),519,Andhra Pradesh,04/2023,05/2024,04/2027,,183.65,183.65,17.25,16.0,0.0,2026-06
Ministry of Railways,Railways,Khurda Road - Balangir Electrification of Railway Track Project,(Ministry of Railways),719,Odisha,09/2018,09/2019,03/2021,,267.61,267.61,0.0,0.0,0.0,2026-06
Ministry of Railways,Railways,"Fatuha-Islampur incl. MM for extn.of NL from Neora to Daniawan , Daniawan to Biharsharif, Biharsharif to Barbigha , Barbigha to Shekhpura",(East Central Railway [ECR] - I),539,Bihar,08/2002,03/2002,03/2023,08/2025,1473.0,2882.0,2712.19,98.2,95.6551255940258,2026-06
Ministry of Railways,Railways,Sabarmati Setting up of Maintenance Facilities for Train Sets Phase ii,(Western Railway [WR] - II),572,Gujarat,01/2023,04/2023,06/2025,05/2026,250.0,250.0,185.02,88.0,0.0,2026-06
Ministry of Railways,Railways,Desalpar-Hajipir-Luna and Vayor-Lakhpat New Line,(Western Railway [WR] - II),576,Gujarat,09/2025,09/2025,09/2028,,2526.47,2526.47,0.0,0.0,0.0,2026-06
Ministry of Railways,Railways,Rajkot - Kanalus Doubling Project [111.2 Kms],(Western Railway WR - II),580,Gujarat,10/2021,12/2021,10/2026,06/2026,1080.58,1080.58,969.78,82.0,0.0,2026-06
Ministry of Railways,Railways,NADIAD-PETLAD [37.26 KM],(Railway),581,Gujarat,05/2022,10/2023,06/2030,06/2030,461.91,461.91,186.9,8.0,0.0,2026-06
Ministry of Railways,Railways,NEW BG LINE INTERSECTION [5 NOS] BETWEEN GERATPUR-SANAND & BOTAD-AHMEDABAD [16.51 KM],(Western Railway [WR] - II),582,Gujarat,10/2022,07/2025,06/2028,10/2027,437.21,437.21,117.95,22.0,0.0,2026-06
Ministry of Railways,Railways,"Redevelopment of Ahmedabad railway station and associated infrastructure on engineering, procurement and construction mode",(Rail Land Development Authority),574,Gujarat,01/2023,11/2023,03/2028,,2379.0,2379.0,984.21,32.5,0.0,2026-06
Ministry of Railways,Railways,Belgaum-Dharwad via Kittur [73.10Km],(South Western Railway [SWR] - II),602,Karnataka,09/2020,03/2025,12/2027,03/2029,1591.0,1591.0,0.38,0.0,0.0,2026-06
Ministry of Railways,Railways,Devbhumi Dwarka [Okha] - Kanalus Doubling,(Western Railway [WR] - II),577,Gujarat,12/2025,12/2025,12/2028,,1456.77,1456.77,0.28,0.0,0.0,2026-06
Ministry of Railways,Railways,Koderma-Arigada Doubling 133.38 Km of East Central Railway,(East Central Railway [ECR] - I),584,Jharkhand,06/2025,06/2025,12/2029,,2887.11,2887.11,0.1,0.0,0.0,2026-06
Ministry of Railways,Railways,New Broad Gauge line between Naliya to Jakhau Port,(Western Railway [WR] - II),565,Gujarat,02/2023,02/2023,01/2028,02/2028,410.26,410.26,11.3,5.0,0.0,2026-06
Ministry of Railways,Railways,Ernakulam-Kumbalam doubling project [7.71 Km],(SR-ERS),604,Kerala,04/2023,04/2023,03/2028,02/2027,601.0,595.39,313.97,28.0,-0.93344425956739,2026-06
Ministry of Railways,Railways,Anand Vihar-Tilak Bridge 3rd & 4th line,(CAO/C/NR),562,Delhi,03/2013,03/2013,03/2023,12/2027,667.0,667.0,333.72,23.0,0.0,2026-06
Ministry of Railways,Railways,Katni Grade Separator/Bye Pass,(Indian Railway Construction International Limited [IRCON]),608,Madhya Pradesh,03/2016,09/2017,09/2024,09/2026,1248.0,1248.0,1850.38,95.0,0.0,2026-06
Ministry of Railways,Railways,Byrnihat-Shillong New Rail Line- 108 km,(Northeast Frontier Railway [NFR]),636,Meghalaya,04/2011,03/2010,03/2021,03/2027,8324.28,8342.28,266.12,2.04,0.2162349176144963,2026-06
Ministry of Railways,Railways,Nagpur- Nagbhir Railway Line Gauge Conversion Project,(MRIDC),631,Maharashtra,10/2019,04/2020,12/2025,12/2025,1400.0,1400.0,1472.0,80.0,0.0,2026-06
Ministry of Railways,Railways,Rourkela-Bondamunda A-Cabin 5th line [9.6 km],(CAO/C/SER),705,Odisha,09/2022,12/2023,03/2026,11/2026,244.99,244.99,146.07,45.0,0.0,2026-06
Ministry of Railways,Railways,Bangriposi-Gorumahisani new line [ 85.60 km ],(CAO/C/SER),706,Odisha,08/2024,09/2025,12/2029,,2269.49,2269.49,7.14,0.0,0.0,2026-06
Ministry of Railways,Railways,Jiribam-Imphal new line project,(Northeast Frontier Railway [NFR]),635,Manipur,03/2013,12/2007,12/2026,06/2029,14323.0,21885.9,16327.07,73.05,52.80248551281157,2026-06
Ministry of Railways,Railways,Miyagam-Karjan-Dabhoi-Samlaya [GC],(Western Railway [WR] - II),578,Gujarat,01/2017,01/2017,03/2021,12/2026,483.88,1039.13,723.52,45.0,114.7495246755394,2026-06
Ministry of Railways,Railways,Badampahar-Kendujhargarh new line [82.06 km],(CAO/C/SER),707,Odisha,08/2024,09/2025,12/2029,,1875.72,1875.72,2.35,0.0,0.0,2026-06
Ministry of Railways,Railways,Dahod Rolling Stock Workshop Provision of Infrastructure for CBS at,(PCE/WR),571,Gujarat,11/2022,03/2023,03/2025,,158.0,158.0,51.87,10.0,0.0,2026-06
Ministry of Railways,Railways,Western Railway Samakhiali Gandhidham Quadrupiling 53 Kms,(Western Railway [WR] - II),569,Gujarat,08/2023,08/2023,12/2026,12/2027,1430.0,1430.0,582.1,45.0,0.0,2026-06
Ministry of Railways,Railways,Development of New Bijwasan Railway Terminal,(Northern Railways),561,Delhi,02/2008,03/2013,03/2020,12/2026,446.21,446.21,565.7,80.0,0.0,2026-06
Ministry of Railways,Railways,Yeshvanthpur - Channasandra Doubling Project [21.70 Km],(Karnataka Rail Infrastructure Development Company Limited [K-RIDE]),590,Karnataka,04/2019,10/2019,03/2024,03/2026,314.1,683.57,173.5,56.8,117.62814390321554,2026-06
Ministry of Railways,Railways,New Railway Line between Ginigera and Raichur [165.57 km],(South Western Railway [SWR] - II),591,Karnataka,03/2008,05/2009,03/2019,03/2027,2565.0,3034.98,2412.11,71.0,18.32280701754386,2026-06
Ministry of Railways,Railways,Bangalore-Satyamanglam New Line Project [260 Km] - Part Hejjala - Chamarajanagar [142 Km],(South Western Railway [SWR] - II),592,Karnataka,02/1999,07/2026,12/2031,,1382.78,1382.78,0.0,0.0,0.0,2026-06
Ministry of Railways,Railways,Bagalkot-Kudachi New Railway Line [142 km],(South Western Railway [SWR] - II),596,Karnataka,10/2013,11/2012,03/2027,01/2027,1378.0,1649.0,809.24,36.5,19.666182873730044,2026-06
Ministry of Railways,Railways,SHIMOGA - SHIKARIPURA - RANEBENNUR [96 Km],(South Western Railway [SWR] - II),599,Karnataka,09/2019,02/2023,12/2027,06/2028,1454.0,1454.0,102.64,13.9,0.0,2026-06
Ministry of Railways,Railways,Tumkur-Chitradurga-Davangere New Rail Line Project [191 km],(South Western Railway [SWR] - II),597,Karnataka,10/2013,01/2017,03/2019,12/2027,1876.0,1876.0,602.36,16.0,0.0,2026-06
Ministry of Railways,Railways,Bangalore-Whitefield-Bangalore City-Krishnarajapuram [23.08 km] - Quadrupling,(South Western Railway [SWR] - II),598,Karnataka,02/2018,06/2022,02/2026,02/2026,493.0,493.0,337.37,85.9,0.0,2026-06
Ministry of Railways,Railways,Dahod Creation of Infrastructure facilities for 9000 HP Electric locomotives Manufacturing at,(PCE/WR),570,Gujarat,05/2022,02/2023,02/2025,,487.0,487.0,222.88,53.0,0.0,2026-06
Ministry of Railways,Railways,Construction of New BG line between Hassan [Alur] to Belur [ Km 27.34],(CAOC/SWR SWR mor),600,Karnataka,06/2019,09/2022,04/2027,12/2027,748.86,748.86,3.64,0.0,0.0,2026-06
Ministry of Railways,Railways,Parasnath-Madhuban-Giridih new line,(East Central Railway [ECR] - I),585,Jharkhand,03/2019,03/2019,03/2024,03/2026,902.86,902.86,0.0,0.1,0.0,2026-06
Ministry of Railways,Railways,Lodhma - Piska - Link Line bypassing Hatia/Ranchi with Y connection,(South Eastern Railway [SER] - I),587,Jharkhand,08/2021,03/2019,06/2026,05/2027,473.0,473.0,349.31,10.0,0.0,2026-06
Ministry of Railways,Railways,Wadsa-Gadchiroli,(South East Central Railway),622,Maharashtra,05/2017,03/2012,03/2027,03/2027,1886.0,1886.0,846.22,68.0,0.0,2026-06
Ministry of Railways,Railways,Hubli-Ankola New Line Project [164.44 km],(South Western Railway [SWR] - II),595,Karnataka,01/1999,01/2000,03/2005,03/2030,5174.0,5174.0,180.48,4.7,0.0,2026-06
Ministry of Railways,Railways,Gomoh - Flyover for DN trains,(East Central Railway [ECR] - I),586,Jharkhand,01/2018,01/2018,03/2026,03/2026,686.0,686.0,634.71,66.7,0.0,2026-06
Ministry of Railways,Railways,Modasa-Shamlaji Road Railway Line Project,(Western Railway WR - II),579,Gujarat,09/2012,04/2008,03/2025,03/2026,262.0,262.0,387.82,64.0,0.0,2026-06
Ministry of Railways,Railways,Bhiwani - Dobh Bahali Doubling Project [42.30 Km],(North Western Railway [NWR]),583,Haryana,02/2023,02/2023,02/2028,02/2028,471.0,471.0,273.41,73.0,0.0,2026-06
Ministry of Railways,Railways,Doubling of Narkatiaganj Raxaul Sitamarhi Darbhanga & Sitamarhi Muzaffarpur 256 KM,(East Central Railway [ECR] - I),535,Bihar,11/2024,11/2025,11/2029,03/2030,4079.95,4079.95,9.93,0.0,0.0,2026-06
Ministry of Railways,Railways,Gadag-Wadi New Railway Line [257 km],(South Western Railway [SWR] - II),593,Karnataka,04/2013,08/2017,03/2027,12/2027,2842.0,6700.0,1604.89,36.5,135.74947220267418,2026-06
Ministry of Railways,Railways,Paradeep - Badabandha 3rd & 4th Line / 18.51kms,(East Coast Railway [ECoR] - II),709,Odisha,08/2023,04/2025,11/2028,,300.15,300.15,2.47,10.5,0.0,2026-06
Ministry of Railways,Railways,Kadur - Chickamagalur - Sakleshpur [93km],(South Western Railway [SWR] - II),594,Karnataka,01/2014,11/2016,06/2025,12/2025,825.0,825.0,789.58,84.8,0.0,2026-06
Ministry of Railways,Railways,New Line between Junagarh - Nabarangpur [116.21 Km],(Indian Railway),711,Odisha,08/2024,08/2025,08/2030,,2864.51,2864.51,1.06,0.0,0.0,2026-06
Ministry of Railways,Railways,Mumbai Urban Transport Project [MUTP] Phase-IIIA,(Mumbai Rail Vikas Corporation Ltd.[MRVC]),633,Maharashtra,04/2019,04/2019,12/2027,12/2027,33690.0,33690.0,3854.46,25.0,0.0,2026-06
Ministry of Railways,Railways,Samlaya Timba Road 54 km,(PCE/WR),567,Gujarat,02/2023,02/2023,03/2030,03/2030,670.17,670.17,47.46,12.0,0.0,2026-06
Ministry of Railways,Railways,Redevelopment of New Delhi Railway Station and construction of associated infrastructure,(Rail Land Development Authority),560,Delhi,01/2023,06/2024,12/2028,,4744.0,4744.0,355.8,6.0,0.0,2026-06
"Ministry of Ports, Shipping and Waterways",Inland Waterways,"Integrated development of Outer Container Terminal and berth No. 1 though 5 NSD at KDS, SMPK on DBFOT basis through PPP mode",(Syama Prasad Mookerjee Port Kolkata),487,West Bengal,03/2025,02/2027,08/2028,,832.25,832.25,0.0,0.0,0.0,2026-06
"Ministry of Ports, Shipping and Waterways",Inland Waterways,Rewas Port Project,(Reliance Industries Ltd),485,Maharashtra,12/2019,01/2020,03/2023,,6000.0,6000.0,5999.89,88.0,0.0,2026-06
Ministry of Railways,Railways,Araria Supaul New BG Line,(East Central Railway [ECR] - I),538,Bihar,06/2018,03/2009,03/2024,01/2027,1605.0,2514.0,1725.95,46.9,56.63551401869159,2026-06
Ministry of Railways,Railways,GUNTAKAL WEST-MALLAPPA GATE RAIL OVER RAIL - ROR TRACK,(South Central Railway [SCR] - II),517,Andhra Pradesh,07/2023,07/2023,07/2026,,293.3,293.3,272.72,0.24,0.0,2026-06
Ministry of Railways,Railways,Sagauli-Valmiknagar,(East Central Railway [ECR] - I),542,Bihar,03/2018,03/2017,12/2025,12/2025,1216.0,2222.0,2102.51,93.0,82.73026315789474,2026-06
Ministry of Railways,Railways,Satna-Rewa Railway Line Doubling Project,(West Central Railway [WCR] - II),606,Madhya Pradesh,11/2015,08/2017,03/2026,03/2026,500.0,584.0,573.8,88.0,16.8,2026-06
Ministry of Railways,Railways,Muzaffarpur-Sugauli,(East Central Railway [ECR] - I),543,Bihar,03/2018,03/2017,06/2024,06/2026,1586.0,1586.0,1509.67,99.0,0.0,2026-06
Ministry of Railways,Railways,Barauni-Bachwara [16 km] - 3rd & 4th line incl. Barauni yard remodelling [32 km],(East Central Railway [ECR] - I),545,Bihar,10/2022,08/2025,08/2025,10/2026,645.0,645.0,54.13,56.9,0.0,2026-06
Ministry of Railways,Railways,JHAJHA - BATIA,(East Central Railway [ECR] - I),546,Bihar,03/2023,03/2023,03/2028,01/2030,588.18,588.18,2.38,0.1,0.0,2026-06
Ministry of Railways,Railways,Doubling of Kirandul-Jagdalpur Line [150 km],(East Coast Railway [ECoR] - II),548,Chhattisgarh,02/2013,03/2013,03/2020,04/2027,1589.0,1798.0,1691.27,96.17,13.1529263687854,2026-06
Ministry of Railways,Railways,Samastipur-Darbhanga Doubling Railway Project,(East Central Railway [ECR] - I),541,Bihar,11/2015,12/2015,03/2025,10/2025,519.0,519.0,412.58,100.0,0.0,2026-06
Ministry of Railways,Railways,KHARSIA- NAYA RAIPUR-PARMALKASA 5th and 6th Line [278KM],(CAO/C/SECR),551,Chhattisgarh,04/2025,04/2025,03/2031,,7853.84,7853.84,0.64,0.0,0.0,2026-06
Ministry of Railways,Railways,Boridand - Ambikapur Doubling Line Project,(South East Central Railway [SECR] - II),555,Chhattisgarh,06/2022,04/2022,06/2030,06/2030,1376.0,1576.72,312.72,30.0,14.587209302325585,2026-06
Ministry of Railways,Railways,Hajipur-Sagauli New line,(East Central Railway [ECR] - I),537,Bihar,10/2007,10/2004,03/2020,06/2027,2067.0,2087.0,2182.46,75.6,0.9675858732462508,2026-06
Ministry of Railways,Railways,Samni Jambusar 24 km,(PCE/WR),568,Gujarat,05/2022,05/2022,03/2030,03/2030,350.0,349.93,80.49,31.0,-0.019999999999998,2026-06
Ministry of Railways,Railways,Rampur Dumra-Tal-Rajendrapul Additional Bridge and Railway Line Doubling,(Indian Railway Construction International Limited [IRCON]),544,Bihar,03/2016,05/2017,12/2024,12/2025,2373.64,1700.24,1581.96,98.5,-28.369929728181187,2026-06
Ministry of Railways,Railways,Gondia-Balharshah [Chanda Fort] Doubling [240 Km],(South East Central Railway),616,Maharashtra,04/2025,04/2025,03/2031,,4373.04,4373.04,1.79,2.0,0.0,2026-06
Ministry of Railways,Railways,"Dallirajhara - Rowghat New Rail Line Project, Phase-I",(Rail Vikas Nigam Limited),552,Chhattisgarh,07/2009,11/2009,03/2025,02/2026,1516.45,1881.26,2154.73,98.0,24.05684328530449,2026-06
Ministry of Railways,Railways,Kumbalam-Turavur doubling project [15.59 Km],(Ministry of Railways),603,Kerala,04/2023,04/2023,03/2027,03/2027,813.0,802.8,151.83,35.0,-1.254612546125467,2026-06
